,brand,model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
21074,Toyota,Aygo,2017,6495,Manual,20023,Petrol,0,69.0,1.0
21075,Toyota,Aygo,2018,10500,Manual,7094,Petrol,145,56.5,1.0
21076,Toyota,Aygo,2016,8998,Automatic,4098,Other,0,67.0,1.0
21077,Toyota,Aygo,2017,8390,Manual,10575,Petrol,145,68.9,1.0
21078,Toyota,Aygo,2017,7880,Manual,16882,Petrol,145,68.9,1.0
21079,Toyota,Aygo,2019,11995,Automatic,1092,Other,150,55.4,1.0
21080,Toyota,Aygo,2018,8850,Automatic,31182,Other,150,67.3,1.0
21081,Toyota,Aygo,2019,10995,Automatic,8234,Other,150,55.4,1.0
21082,Toyota,Aygo,2017,8998,Manual,4643,Petrol,145,68.9,1.0
21083,Toyota,Aygo,2018,8220,Manual,23810,Petrol,145,69.0,1.0
21084,Toyota,Aygo,2017,8495,Automatic,23545,Other,145,67.0,1.0
21085,Toyota,Aygo,2019,10750,Manual,32,Petrol,145,57.7,1.0
